gameID,Game,Played,Platform,ReleaseDate,Developer,Genre,Description,BoxArt,WikipediaPage,RelatedGames
12,Michael Jackson's Moonwalker,checked,"PC DOS,Commodore C64/128,Amiga,Amstrad CPC,ZX Spectrum,MSX,Sega Mega Drive/Genesis,Arcade,Atari ST/STE,Sega Master System",1990-07-24,Emerald Software,"Shooter,Music,Platform,Hack and slash/Beat 'em up,Arcade","""Michael!"" Katy's voice rings out - you've found her! But more children are still lost! Can you stop the psycho mastermind Mr. Big and his goon squad before they kidnap all the kids? You can, if you're Michael Jackson! Moonwalk on muggers, lean on meanies, and pop the punks! Outfight, outjump, outdance! Move like only Michael can, to the beat of Smooth Criminal, Beat it, Billie Jean, and Bad! No bad guy can last through Michael's Star Magic! Punch down gangsters in Club 30. Rumble in the streets. Swing, spin, and kick past graveyard ghouls. Chill in the caverns, then sizzle 'em with ultra-tech weapons in Mr. Big's hideout. Experience the baddest video game ever. Defy physics with Michael's dancing! You never lose your cool. See it and be it - Michael Jackson's Moonwalker!",https://images.igdb.com/igdb/image/upload/t_1080p/co1hrq.jpg,https://en.wikipedia.org/wiki/Michael_Jackson's_Moonwalker,"Mega Man X,Cyberpunk 2077,N++,Ziggurat,Challenger,Rise of Incarnates,Immortal: Unchained,Earth Defense Force: Iron Rain,Left Alive,Gene Rain"
13,Batman,checked,"PC DOS,Commodore C64/128,Amiga,Amstrad CPC,ZX Spectrum,MSX,Atari ST/STE",1989-12-31,Ocean Software,"Shooter,Platform,Puzzle,Racing,Strategy,Hack and slash/Beat 'em up",,https://images.igdb.com/igdb/image/upload/t_1080p/y44gy18jski1hxdfgka2.jpg,,"Batman Returns,The Amazing Spider-Man 2,Marvel's Spider-Man,Toby: The Secret Mine,Marvel's Avengers,PLANET ALPHA,Spider-Man: Toxic City,Blast Out,Hob: The Definitive Edition,Zombie Driver: Immortal Edition"
14,Wing Commander,checked,"PC (Microsoft Windows),PlayStation,PC DOS,Mac,Amiga,Super Nintendo Entertainment System (SNES),Game Boy Advance,3DO Interactive Multiplayer,Sega CD,Amiga CD32",1990-01-01,Origin Systems,Simulator,"The player takes the role of a nameless pilot aboard the TCS Tiger's Claw, a Bengal-class Strike Carrier. The player gets to name the pilot and choose his call sign. The pilot (known in-production to Origin personnel as ""Bluehair"", after his most notable feature) quickly rises through the ranks of the flight wing and (presuming the player performs ideally in the cockpit) eventually leads a strike on the Kilrathi High Command starbase in the Venice system. On the other hand, if the player does not perform optimally, missions become increasingly defensive in nature, and eventually the Claw is forced to retreat.",https://images.igdb.com/igdb/image/upload/t_1080p/xkn7w3ip3zzzjiw0efdk.jpg,https://en.wikipedia.org/wiki/Wing_Commander_(video_game),"Space Engineers,Starmade,RimWorld,Planetbase,Imagine Earth,Unclaimed World,Dig or Die,Star Control: Origins,Sol 0: Mars Colonization,Immortal: Unchained"
15,Monkey Island 2: LeChuck's Revenge,checked,"PC DOS,Mac,Amiga",1991-12-01,LucasArts,"Point-and-click,Puzzle,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/ymf2ctacqxxgdldoky5b.jpg,https://en.wikipedia.org/wiki/Monkey_Island_2:_LeChuck%27s_Revenge,"The Secret of Monkey Island,Myst,Masochisia,Rusty Lake Hotel,Toby: The Secret Mine,Forgotton Anne,Rusty Lake: Roots,Don't Knock Twice,The Room: Old Sins,PLANET ALPHA"
16,Sonic the Hedgehog,checked,"Wii,PC (Microsoft Windows),PlayStation 3,Xbox 360,Sega Mega Drive/Genesis,Android,iOS,Virtual Console (Nintendo)",1991-06-23,Sonic Team,"Platform,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1hl8.jpg,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_(1991_video_game),"Chasm,Sonic the Hedgehog 2,Sonic the Hedgehog,Vagante,Sonic Mania,Celeste,Dead Cells,Children of Morta,Pikuniku,Dream Alone"
17,Street Fighter II,checked,"PC (Microsoft Windows),PC DOS,Commodore C64/128,Amiga,Super Nintendo Entertainment System (SNES),Amstrad CPC,ZX Spectrum,Game Boy,Virtual Console (Nintendo),Arcade,Super Famicom,Atari ST/STE",1991-02-06,Capcom,"Fighting,Platform",,https://images.igdb.com/igdb/image/upload/t_1080p/co1hq8.jpg,https://en.wikipedia.org/wiki/Street_Fighter_II:_The_World_Warrior,"Syndicate,Super Metroid,The Lion King,Chasm,The Talos Principle,Hyper Light Drifter,Owlboy,Downwell,Dead Cells,Street Fighter X Mega Man"
18,Microsoft Solitaire,checked,PC (Microsoft Windows),1990-12-31,Microsoft,Card & Board Game,,https://images.igdb.com/igdb/image/upload/t_1080p/vsn48jvqe5luzcsljowo.jpg,https://en.wikipedia.org/wiki/Microsoft_Solitaire,"The Settlers: Rise of an Empire,Might & Magic Heroes VII,Endless Space 2,Basement,Sexy Poker,Reverse Crawl,Cthulhu Realms,Slay the Spire,Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,Yu-Gi-Oh! Online"
19,Lemmings,checked,"PlayStation 3,PC DOS,Amiga,Nintendo Entertainment System (NES),Amstrad CPC,Sega Mega Drive/Genesis,Sega Game Gear,3DO Interactive Multiplayer,Atari Lynx,Atari ST/STE,Sega Master System,Amiga CD32",1991-02-14,DMA Design,"Platform,Puzzle,Strategy",,https://images.igdb.com/igdb/image/upload/t_1080p/hpwjcwfee90tvvkmsr6u.jpg,https://en.wikipedia.org/wiki/Lemmings_(video_game),"Lemmings 2: The Tribes,Worms,Oh No! More Lemmings,Human: Fall Flat,Toby: The Secret Mine,Forgotton Anne,Mario + Rabbids Kingdom Battle,Semblance,Pikuniku,Dream Alone"
20,Sonic the Hedgehog 2,checked,"PlayStation 3,Xbox 360,Sega Mega Drive/Genesis,Nintendo 3DS",1992-11-21,Sega Technical Institute,"Platform,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1hnn.jpg,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_2,"Super Mario 64,Sonic the Hedgehog,Chasm,Sonic the Hedgehog CD,Sonic Advance,Vagante,Sonic Mania,Tunic,Forgotton Anne,Dream Alone"
21,Mortal Kombat,checked,"PC DOS,Amiga,Super Nintendo Entertainment System (SNES),Sega Mega Drive/Genesis,Game Boy,Sega Game Gear,Arcade,Sega CD",1992-08-02,Probe Software,Fighting,"Seven martial artists from Earth must battle in sorcerer Shang Tsung's super secret tournament. For the past 9 of these tournaments, Shang Tsung's four-armed mutant bodyguard Goro has won all of them. Should he win the tenth, Earth will be left at the mercy of Shang Tsung's Outworld. Playable characters include Raiden, the Thunder God invited to fight in the tournament, in human (and thus killable) form; Liu Kang, a Shaolin monk determined to stop Shang Tsung; Johnny Cage, a Hollywood movie star who wants the publicity; Sonya Blade, a US Special Forces agent; Kano, a tyrant being pursued by Sonya Blade; Sub-Zero, a mercenary ninja with orders to assassinate Shang Tsung and Scorpion, a murdered ninja who has been brought back from the dead to try and kill Sub-Zero, the man who murdered him.",https://images.igdb.com/igdb/image/upload/t_1080p/co1hno.jpg,https://en.wikipedia.org/wiki/Mortal_Kombat_(1992_video_game),"Mortal Kombat,Tekken,Tekken 2,Tekken 3,Tekken 4,Tekken 5,Mortal Kombat 3,Ultimate Mortal Kombat 3,Mortal Kombat 4,Mortal Kombat Trilogy"
22,Ecco the Dolphin,checked,"Linux,Wii,PC (Microsoft Windows),Sega Mega Drive/Genesis,Sega Game Gear,Xbox Live Arcade,Nintendo 3DS,iOS,Virtual Console (Nintendo),Sega Master System,Sega CD",1992-07-31,Novotrade,Adventure,"The game opens with Ecco, a bottlenose dolphin, as he and his pod are swimming in their home bay. A podmate challenges Ecco to a game to see how high he can jump into the air. When he is in the air, a giant waterspout forms and sucks up all marine life in the bay except Ecco, leaving him alone in the bay. Upon leaving the bay, Ecco swims around meeting other marine life including other dolphins who tell them they have felt the storm and the entire ocean is in chaos. An orca Ecco encounters tells him to travel to the Arctic to meet the ""Big Blue,"" an old blue whale revered by marine life for its age and wisdom, who might be able to help him on his journey. Arriving in the Arctic after a long travel through the ocean, Ecco finds the Big Blue who informs the dolphin the storms occur every 500 years. Though the Big Blue doesn't know what causes the storms, he suggests Ecco find the Asterite, the oldest life form on Earth. He leaves the Arctic and travels to a deep cavern where he finds the Asterite. The Asterite greets Ecco telling him though it has the power to aid him, the Asterite cannot because orbs from its body have been lost. The Asterite tells him to go to the sunken ruins of the city of Atlantis, and use the time machine left behind by the Atlanteans. 
 
Ecco travels to the sunken city of Atlantis, where he discovers an ancient library filled with Glyphs, giant crystals stored with information. From the library Ecco learns the origins of the storms, an alien race known as the Vortex lost the ability to produce food on their planet, so every 500 years when the planets align, they use their technology to harvest the waters of Earth. The Atlanteans fought a long war with the Vortex that ended when a beam struck Atlantis from space sending the city into the depths of the ocean. Learning this, he activates the time machine and travels 55 million years into Earth's past. While Ecco is in the past he learns an ancient song to communicate with a Pteranodon. Ecco locates the Asterite in the past but is immediately attacked by it. Forced into battle, he manages to dislodge a globe from it. This opens a time portal and he is sent back into the present. After receiving the globe, the Asterite grants him the power to turn his sonar into a deadly weapon against the Vortex, as well as the abilities to breathe underwater and to slowly regenerate lost health. The Asterite instructs him to use the time machine to travel back in time to the hour of the harvest. This time he manages to be sucked into the waterspout with his pod. Ecco is sent flying through outer space to a giant tube-like machine. Making his way through the construct Ecco arrives on the planet Vortex engaging the aliens in combat. He makes his way to the Vortex Queen and engages her in a fight. When the Queen is defeated she spits out Ecco's pod she ate and they make their quick escape back to Earth.",https://images.igdb.com/igdb/image/upload/t_1080p/co23oy.jpg,https://en.wikipedia.org/wiki/Ecco_the_Dolphin_(video_game),"Super Metroid,Starbound,Chasm,No Man's Sky,Ecco: The Tides of Time,ABZÛ,Aquaria,Ziggurat,Sonic Mania,Children of Morta"
23,Myst,checked,"PC (Microsoft Windows),PlayStation,Mac,Nintendo DS,Sega Saturn,PlayStation Portable,iOS",1993-09-24,Cyan Worlds,"Point-and-click,Puzzle,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1rr8.jpg,https://en.wikipedia.org/wiki/Myst,"Rusty Lake: Roots,The Room: Old Sins,PLANET ALPHA,Sky: Children of the Light,Eternity: The Last Unicorn,Torchlight III,A Fisherman's Tale,Iris.Fall,Pokémon Shield,Hob: The Definitive Edition"
24,Doom,checked,"Linux,PC (Microsoft Windows),PlayStation,PC DOS,Mac,Super Nintendo Entertainment System (SNES),Game Boy Advance,Sega 32X,Sega Saturn,Xbox Live Arcade,iOS,3DO Interactive Multiplayer,Super Famicom,Atari Jaguar,Nintendo Switch",1993-12-10,Rage Software,Shooter,"The player takes the role of a marine (unnamed to further represent the person playing), ""one of Earth's toughest, hardened in combat and trained for action"", who has been incarcerated on Mars after assaulting a senior officer when ordered to fire upon civilians. There, he works alongside the Union Aerospace Corporation (UAC), a multi-planetary conglomerate and military contractor performing secret experiments on interdimensional travel. Recently, the teleportation has shown signs of anomalies and instability, but the research continues nonetheless. 
 
Suddenly, something goes wrong and creatures from hell swarm out of the teleportation gates on Deimos and Phobos. A defensive response from base security fails to halt the invasion, and the bases are quickly overrun by monsters; all personnel are killed or turned into zombies 
 
A military detachment from Mars travels to Phobos to investigate the incident. The player is tasked with securing the perimeter, as the assault team and their heavy weapons are brought inside. Radio contact soon ceases and the player realizes that he is the only survivor. Being unable to pilot the shuttle off of Phobos by himself, the only way to escape is to go inside and fight through the complexes of the moon base.",https://images.igdb.com/igdb/image/upload/t_1080p/co1rvy.jpg,https://en.wikipedia.org/wiki/Doom_(1993_video_game),"Star Wars: Battlefront II,Crysis 2,Rage,Halo 2,Get Even,Sniper: Ghost Warrior 3,Metro Exodus,Immortal: Unchained,Earth Defense Force: Iron Rain,Left Alive"
25,Day of the Tentacle,checked,"PC DOS,Mac",1993-06-25,LucasArts,"Point-and-click,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/a0uq13rykbab3ot1n9hv.jpg,https://en.wikipedia.org/wiki/Day_of_the_Tentacle,"Dishonored,Bioshock Infinite,Gone Home,Wolfenstein: The New Order,The Vanishing of Ethan Carter,The Wolf Among Us,Broken Age,Murdered: Soul Suspect,SOMA,The Cat Lady"
26,Flashback,checked,"PC DOS,Mac,Amiga,Super Nintendo Entertainment System (SNES),Sega Mega Drive/Genesis,3DO Interactive Multiplayer,Atari Jaguar,Sega CD,Acorn Archimedes,Philips CD-i",1992-12-31,Delphine Software,"Platform,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1p55.jpg,,"Star Control: Origins,Marvel's Avengers,PLANET ALPHA,Immortal: Unchained,Control,Gene Rain,Rebel Galaxy Outlaw,Apsulov: End of Gods,Hob: The Definitive Edition,Hell Pie"
27,Dune,checked,"PC DOS,Amiga,Sega CD",1992-12-31,Cryo Interactive,"Real Time Strategy (RTS),Strategy,Hack and slash/Beat 'em up,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1iyr.jpg,https://en.wikipedia.org/wiki/Dune_(video_game),"Dune II: The Building of a Dynasty,Dune 2000,Star Wars: Empire At War,StarCraft II: Wings of Liberty,Homeworld: Remastered Collection,Praetorians,RimWorld,Ashes of the Singularity,Planetbase,Bannermen"
28,Alone in the Dark,checked,"PC DOS,Mac,iOS,3DO Interactive Multiplayer",1992-12-31,Kung Fu Factory,"Puzzle,Adventure",,https://images.igdb.com/igdb/image/upload/t_1080p/co1p4p.jpg,https://en.wikipedia.org/wiki/Alone_in_the_Dark#Alone_in_the_Dark_(1992),"Silent Hill 2,Alone in the Dark 2,Alone in the Dark: The New Nightmare,Dying Light,Call of Cthulhu,Draugen,Bloodstained: Ritual of the Night,The Cat Lady,Human: Fall Flat,Don't Knock Twice"
29,Star Wars: X-Wing,checked,"PC DOS,Mac",1993-02-01,Totally Games,"Shooter,Simulator","Players assume the role of a Rebel pilot fighting the Galactic Empire before and during the climactic battle of the first Star Wars film. The story consists of three tours of duty of 12 to 14 operations each; although the tours can be played out of order, operations within each tour are played linearly. Briefings, cutscenes, and in-flight messages advance the plot. Additionally, a limited edition of the game came packaged with a 96-page novella, The Farlander Papers by Rusel DeMaria, that provides story information. The novella, later made part of Prima Publishing's strategy guide, presents a pilot name Keyan Farlander as the player's character for most of the operations.[2]",https://images.igdb.com/igdb/image/upload/t_1080p/shfbg0zpssebtmegrxuf.jpg,https://en.wikipedia.org/wiki/Star_Wars:_X-Wing,"Space Engineers,Homeworld: Remastered Collection,Starmade,Planetbase,Unclaimed World,MechWarrior 5: Mercenaries,Sol 0: Mars Colonization,Immortal: Unchained,Earth Defense Force: Iron Rain,Rebel Galaxy Outlaw"
30,Doom II: Hell on Earth,checked,"PC (Microsoft Windows),PC DOS,Mac,Game Boy Advance,Xbox Live Arcade,Tapwave Zodiac,Nintendo Switch",1994-09-30,id Software,Shooter,"The continuous 30 levels are divided into four areas; UAC Underground, UAC's Starport (Hellish Outpost), City, and Hell. 
 
Immediately following the events in Doom, the player once again assumes the role of the unnamed space marine. After defeating the demon invasion of the Mars moon bases and returning from Hell (the manifestation of Hell where the Deimos moon floats over), Doomguy finds that Earth has also been invaded by the demons, who have killed billions of people.[10][11] 
 
The humans who survived the attack have developed a plan to build massive spaceships which will carry the remaining survivors into space. Once the ships are ready, the survivors prepare to evacuate Earth. Unfortunately, Earth's only ground spaceport gets taken over by the demons, who place a flame barrier over it, preventing any ships from leaving.[10] The marine then battles hordes of demons and is able to deactivate the force field, allowing the remaining humans to escape. Once all the survivors escape Earth, the marine is the only human left on the planet.[12] 
 
Just as he sits down to await death, knowing that he saved mankind, the marine then receives an off-planet transmission from the survivors in orbit, who have managed to find out where the armies of Hell are coming from. The message reveals that the demonic base is in the center of the marine's own hometown. He then fights through the city until he reaches the base, but sees there is no way to stop the invasion on that side. He then decides to step into the portal to try deactivating it from the other side, entering Hell (a different Hell than the one that the Deimos moon floats over in the first Doom). 
 
After fighting through the hordes of Hell, the marine reaches the location of the biggest demon he has ever seen, called the Icon of Sin (Baphomet). He kills the Icon of Sin by firing rockets into its exposed brain. Its death causes devastation on Hell, and the portal to Earth has been sealed. Now with Hell defeated, the marine joins with the other humans in an effort to rebuild and restore life on Earth.",https://images.igdb.com/igdb/image/upload/t_1080p/co1mwh.jpg,https://en.wikipedia.org/wiki/Doom_II,"Half-Life,Wolfenstein 3D,Quake II,Quake 4,Singularity,Syndicate,Wolfenstein: The New Order,Doom 64,DOOM,The Ultimate Doom"
31,UFO: Enemy Unknown,checked,"PC (Microsoft Windows),PlayStation,PC DOS,Amiga",1994-03-31,Mythos Games,"Strategy,Turn-based strategy (TBS),Tactical",,https://images.igdb.com/igdb/image/upload/t_1080p/ktncvwaufyr5m92pwuap.jpg,,"Deus Ex,XCOM: Enemy Unknown,Wolfenstein: The New Order,The Vanishing of Ethan Carter,Dying Light,The Witness,SOMA,XCOM 2,The Cat Lady,Prey"
32,Lemmings 2: The Tribes,checked,"PC DOS,Amiga,Super Nintendo Entertainment System (SNES),Sega Mega Drive/Genesis,Game Boy,Sega Game Gear,Atari ST/STE,Sega Master System",1993-12-31,DMA Design,"Puzzle,Sport,Strategy",,https://images.igdb.com/igdb/image/upload/t_1080p/a6cr1kyletwtrlhk91uh.jpg,,"Banished,Lemmings,Original War,RimWorld,Legends of Eisenwald,Planetbase,Battle Brothers,Life is Feudal: Forest Village,Sol 0: Mars Colonization,Medieval Kingdom Wars"
33,Sonic the Hedgehog 3,checked,"Wii,Xbox 360,Sega Mega Drive/Genesis,Virtual Console (Nintendo)",1994-02-02,Sonic Team,"Platform,Adventure","After Sonic defeats Dr. Robotnik at the end of Sonic the Hedgehog 2, his space station, the Death Egg, crash-lands on a mystical floating landmass called Angel Island (or simply ""the Floating Island"" as it's called in the game manual). As Dr. Robotnik begins to repair the damaged station, he meets up with Knuckles the Echidna, the last surviving member of an ancient civilization of Echidnas that once inhabited the island. He is also the guardian of the Master Emerald, which grants the island its levitation powers. 
 
Knowing Sonic and Tails will try to track him down, and realizing he can use the Master Emerald to power the ship, Dr. Robotnik dupes Knuckles into believing Sonic is trying to steal his Emerald. Shortly after, Sonic and Tails in their biplane, the Tornado, are in search of Dr. Robotnik. Sonic, possessing the emeralds from the events of Sonic 2, then turns into Super Sonic. As soon as they arrive, Knuckles ambushes Sonic from underground and knocks the Chaos Emeralds from him, returning him to normal. Knuckles steals the Emeralds and disappears inland. As Sonic and Tails travel through the levels, they encounter Knuckles in almost every level, hindering their progress. 
 
In the last level, the Launch Base Zone, the Death Egg launches off for the second time, knocking Knuckles off a pole and sending him plummeting into the water. Sonic travels to a platform on the Death Egg, fights, and defeats Robotnik for the last time. The Death Egg is seen damaged and falling after Robotnik's defeat, after which it crashes back onto Angel Island- leading into the second half of the story in Sonic & Knuckles.",https://images.igdb.com/igdb/image/upload/t_1080p/co1n9m.jpg,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog_3,"Sonic Advance,Vagante,Toby: The Secret Mine,Tunic,Forgotton Anne,Celeste,Ori and the Will of the Wisps,Pikuniku,Dream Alone,Unbound: Worlds Apart"
